subject,max train acc,min train acc,mean train acc,max train loss,min train loss,mean train loss,max validation acc,min validation acc,mean validation acc,max validation loss,min validation loss,mean validation loss
P10,0.9646914601325988,0.4029015898704529,0.8814451777272754,1.076414704322815,0.1122863292694091,0.268929031287503,0.805031418800354,0.4109014570713043,0.7672731999276031,1.06254780292511,0.4926819801330566,0.5498582851937693
P11,0.9199440479278564,0.3567558228969574,0.8132624484652238,1.1072871685028076,0.2177979946136474,0.42926205327506545,0.6806429028511047,0.4067085981369018,0.6490530870158038,1.0752989053726196,0.7505606412887573,0.8361680654527472
P05,0.9311309456825256,0.4424051642417907,0.8551144979216836,1.048395037651062,0.1834441125392913,0.32949561461735,0.7910552024841309,0.5115303993225098,0.7617335199739375,1.0160735845565796,0.4768171608448028,0.5336677024238988
P02,0.9928334355354308,0.428246796131134,0.9458004843796706,1.0561436414718628,0.0319866761565208,0.14025707596217638,0.8902865052223206,0.5276030898094177,0.8650481778141147,1.0331696271896362,0.2949850857257843,0.38027257182611945
P03,0.9416186213493348,0.5028840899467468,0.8690811884049778,1.0047683715820312,0.1597743779420852,0.2950531135029548,0.805031418800354,0.5911949872970581,0.7807293635494305,0.9573667645454408,0.4233855307102203,0.511374130804905
P04,0.983569324016571,0.5998951196670532,0.9264635125572762,0.9218404293060304,0.0526263378560543,0.16691847517039998,0.8937805891036987,0.6547868847846985,0.8685899706703893,0.8255525827407837,0.270281970500946,0.30615681384721494
P13,0.8757210373878479,0.4890753328800201,0.7909712091767245,1.0142229795455933,0.3073290288448334,0.44608032689105975,0.7267645001411438,0.5737246870994568,0.7044829558983123,0.9967476725578308,0.6052701473236084,0.6442548132342972
P14,0.9173221588134766,0.5818912982940674,0.8346331576352874,0.9283819198608398,0.2057807743549347,0.3511798506940654,0.7582110166549683,0.6512928009033203,0.7261250448272956,0.8378441333770752,0.5275529623031616,0.5853095460812557
P15,0.9508827328681946,0.5284041166305542,0.8429967052085809,0.9592097997665404,0.1412178128957748,0.3416090727114992,0.7554157972335815,0.6645702123641968,0.7258394195119715,0.8695344924926758,0.5691205263137817,0.6275062832800827
P12,0.9327040910720824,0.5506030321121216,0.8937756522407745,0.9465744495391846,0.1644721776247024,0.22859889256388113,0.8511530160903931,0.6925227046012878,0.8394098733057523,0.8110620975494385,0.3059149980545044,0.35293386626842965
P01,0.992309033870697,0.5404649376869202,0.9122148096254191,0.9591638445854188,0.035536915063858,0.20495641583903237,0.8679245114326477,0.6477987170219421,0.821100521487059,0.8675416707992554,0.4045382142066955,0.46159423357739887
P06,0.9853172302246094,0.5196644067764282,0.9089639641630461,0.9656065106391908,0.0510660931468009,0.21082316895707193,0.857442319393158,0.6484975814819336,0.8166115367385658,0.8588847517967224,0.3695415556430816,0.44964914249243637
P08,0.9750043749809264,0.5263065695762634,0.881157731079351,0.968605101108551,0.075804702937603,0.26139126980543637,0.8190076947212219,0.6275331974029541,0.7711493839442981,0.9178752303123474,0.4684275090694427,0.5209860371009207
P09,0.8659325242042542,0.4037755727767944,0.8014592836278506,1.0790616273880005,0.3265495002269745,0.42819088842810654,0.7051013112068176,0.482879102230072,0.68643638299997,1.0543948411941528,0.6016108989715576,0.6648054773157294
P07,0.9465128183364868,0.6004195213317871,0.9043868228438354,0.883382260799408,0.1393848955631256,0.21400088550789012,0.8819007873535156,0.7218728065490723,0.8661525396718865,0.7568163275718689,0.2707729339599609,0.2943105356146892
